[bonsai2-run +0.002s] staging Ternary-Bonsai-2-27B-PQ2_0.gguf Qwen3.8-27B-DFlash2-r3-Q4_K_M.gguf -> /dev/shm/models (8 streams/file)
[bonsai2-run +3.036s] staged 7.8G
[bonsai2-run +3.037s] exec llama-server -m /dev/shm/models/Ternary-Bonsai-2-27B-PQ2_0.gguf -ngl 999 -fa on -c 8192 -np 1 --host 0.0.0.0 --port 8080 --no-warmup --metrics --jinja -md /dev/shm/models/Qwen3.8-27B-DFlash2-r3-Q4_K_M.gguf --spec-type draft-dflash --spec-draft-n-max 3 -ngld 999
0.00.126.521 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.126.866 W srv  llama_server: -----------------
0.00.126.871 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.126.871 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.126.871 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.126.871 W srv  llama_server: -----------------
0.00.128.150 I srv    load_model: loading model '/dev/shm/models/Ternary-Bonsai-2-27B-PQ2_0.gguf'
0.01.058.077 E llama_init_from_model: failed to initialize the context: dflash requires ctx_other to be set (this warning is normal during memory fitting)
0.01.103.951 W operator(): failed to measure the memory of the extra model, fitting without it: failed to create llama_context from model
0.02.810.587 I cmn          init: llama threadpool init, n_threads = 24
0.02.810.624 I common_speculative_init_result: loading draft model '/dev/shm/models/Qwen3.8-27B-DFlash2-r3-Q4_K_M.gguf'
0.03.546.839 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 8192, kv_unified = 'false'
0.03.546.855 I common_speculative_impl_draft_dflash: adding speculative implementation 'draft-dflash'
0.03.546.857 I common_speculative_impl_draft_dflash: - n_max=3, n_min=0, p_min=0.00
0.03.546.858 I common_speculative_impl_draft_dflash: - block_size=8, mask_token_id=248070, n_extract=5, sample_from_anchor=true, lineage=dflash
0.03.599.603 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.03.599.618 I srv  llama_server: model loaded
0.03.599.621 I srv  llama_server: listening on http://0.0.0.0:8080
0.03.599.621 W srv  llama_server: NOTICE: server default port will be changed to :9931 in a future release
0.03.599.621 W srv  llama_server:         ref: https://github.com/ggml-org/llama.cpp/pull/26508
0.04.145.883 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.22.084.142 I slot print_timing: id  0 | task 145 | prompt eval time =     962.88 ms /   376 tokens (    2.56 ms per token,   390.50 tokens per second)
0.22.084.149 I slot print_timing: id  0 | task 145 |        eval time =    6570.13 ms /   429 tokens (   15.35 ms per token,    65.14 tokens per second)
0.22.084.150 I slot print_timing: id  0 | task 145 |       total time =    7533.00 ms /   805 tokens
0.22.084.150 I slot print_timing: id  0 | task 145 |    graphs reused =        241
0.22.084.153 I slot print_timing: id  0 | task 145 | draft acceptance = 0.97859 (  320 accepted /   327 generated), mean len =  3.94
0.22.084.199 I slot      release: id  0 | task 145 | stop processing: n_tokens = 805, truncated = 0
0.22.087.634 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 2722687420
0.22.276.820 I slot launch_slot_: id  0 | task 257 | processing task, is_child = 0
0.25.927.669 I slot print_timing: id  0 | task 257 | n_gen =    199, tg =  65.26 t/s, tg_3s =  65.59 t/s
0.28.932.877 I slot print_timing: id  0 | task 257 | n_gen =    399, tg =  65.90 t/s, tg_3s =  66.55 t/s
0.30.209.262 I slot print_timing: id  0 | task 257 | prompt eval time =     616.62 ms /   370 tokens (    1.67 ms per token,   600.05 tokens per second)
0.30.209.270 I slot print_timing: id  0 | task 257 |        eval time =    7315.80 ms /   478 tokens (   15.34 ms per token,    65.20 tokens per second)
0.30.209.270 I slot print_timing: id  0 | task 257 |       total time =    7932.41 ms /   848 tokens
0.30.209.271 I slot print_timing: id  0 | task 257 |    graphs reused =        359
0.30.209.274 I slot print_timing: id  0 | task 257 | draft acceptance = 0.98072 (  356 accepted /   363 generated), mean len =  3.94
0.30.209.312 I slot      release: id  0 | task 257 | stop processing: n_tokens = 847, truncated = 0
0.30.212.320 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.186 (> 0.100 thold), f_keep = 0.041
0.30.403.167 I slot launch_slot_: id  0 | task 381 | processing task, is_child = 0
0.33.446.712 I slot print_timing: id  0 | task 381 | prompt eval time =     373.97 ms /   188 tokens (    1.99 ms per token,   502.71 tokens per second)
0.33.446.719 I slot print_timing: id  0 | task 381 |        eval time =    2669.54 ms /   161 tokens (   16.68 ms per token,    59.94 tokens per second)
0.33.446.720 I slot print_timing: id  0 | task 381 |       total time =    3043.51 ms /   349 tokens
0.33.446.720 I slot print_timing: id  0 | task 381 |    graphs reused =        401
0.33.446.723 I slot print_timing: id  0 | task 381 | draft acceptance = 0.88636 (  117 accepted /   132 generated), mean len =  3.66
0.33.446.759 I slot      release: id  0 | task 381 | stop processing: n_tokens = 349, truncated = 0
0.33.449.702 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.254 (> 0.100 thold), f_keep = 0.100
0.33.615.877 I slot launch_slot_: id  0 | task 428 | processing task, is_child = 0
0.35.958.898 I slot print_timing: id  0 | task 428 | prompt eval time =     338.96 ms /   138 tokens (    2.46 ms per token,   407.13 tokens per second)
0.35.958.905 I slot print_timing: id  0 | task 428 |        eval time =    2004.03 ms /   133 tokens (   15.18 ms per token,    65.87 tokens per second)
0.35.958.906 I slot print_timing: id  0 | task 428 |       total time =    2342.99 ms /   271 tokens
0.35.958.906 I slot print_timing: id  0 | task 428 |    graphs reused =        432
0.35.958.909 I slot print_timing: id  0 | task 428 | draft acceptance = 1.00000 (   99 accepted /    99 generated), mean len =  4.00
0.35.958.945 I slot      release: id  0 | task 428 | stop processing: n_tokens = 270, truncated = 0
0.35.961.856 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.206 (> 0.100 thold), f_keep = 0.122
0.36.123.936 I slot launch_slot_: id  0 | task 464 | processing task, is_child = 0
0.38.592.888 I slot print_timing: id  0 | task 464 | prompt eval time =     348.73 ms /   160 tokens (    2.18 ms per token,   458.81 tokens per second)
0.38.592.895 I slot print_timing: id  0 | task 464 |        eval time =    2120.19 ms /   139 tokens (   15.36 ms per token,    65.09 tokens per second)
0.38.592.895 I slot print_timing: id  0 | task 464 |       total time =    2468.92 ms /   299 tokens
0.38.592.896 I slot print_timing: id  0 | task 464 |    graphs reused =        465
0.38.592.899 I slot print_timing: id  0 | task 464 | draft acceptance = 0.98095 (  103 accepted /   105 generated), mean len =  3.94
0.38.592.934 I slot      release: id  0 | task 464 | stop processing: n_tokens = 298, truncated = 0
0.38.595.850 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.211 (> 0.100 thold), f_keep = 0.117
0.38.761.170 I slot launch_slot_: id  0 | task 502 | processing task, is_child = 0
0.42.147.560 I slot print_timing: id  0 | task 502 | n_gen =    191, tg =  63.03 t/s, tg_3s =  63.37 t/s
0.43.106.224 I slot print_timing: id  0 | task 502 | prompt eval time =     372.16 ms /   166 tokens (    2.24 ms per token,   446.04 tokens per second)
0.43.106.230 I slot print_timing: id  0 | task 502 |        eval time =    3972.86 ms /   248 tokens (   16.08 ms per token,    62.17 tokens per second)
0.43.106.230 I slot print_timing: id  0 | task 502 |       total time =    4345.02 ms /   414 tokens
0.43.106.231 I slot print_timing: id  0 | task 502 |    graphs reused =        529
0.43.106.234 I slot print_timing: id  0 | task 502 | draft acceptance = 0.91414 (  181 accepted /   198 generated), mean len =  3.74
0.43.106.271 I slot      release: id  0 | task 502 | stop processing: n_tokens = 413, truncated = 0
0.43.109.126 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.210 (> 0.100 thold), f_keep = 0.080
0.43.278.190 I slot launch_slot_: id  0 | task 571 | processing task, is_child = 0
0.46.667.283 I slot print_timing: id  0 | task 571 | n_gen =    198, tg =  64.81 t/s, tg_3s =  65.14 t/s
0.46.913.505 I slot print_timing: id  0 | task 571 | prompt eval time =     349.25 ms /   157 tokens (    2.22 ms per token,   449.53 tokens per second)
0.46.913.512 I slot print_timing: id  0 | task 571 |        eval time =    3286.03 ms /   214 tokens (   15.43 ms per token,    64.82 tokens per second)
0.46.913.512 I slot print_timing: id  0 | task 571 |       total time =    3635.28 ms /   371 tokens
0.46.913.513 I slot print_timing: id  0 | task 571 |    graphs reused =        581
0.46.913.516 I slot print_timing: id  0 | task 571 | draft acceptance = 0.98148 (  159 accepted /   162 generated), mean len =  3.94
0.46.913.553 I slot      release: id  0 | task 571 | stop processing: n_tokens = 370, truncated = 0
0.46.916.860 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.396 (> 0.100 thold), f_keep = 0.108
0.47.083.751 I slot launch_slot_: id  0 | task 628 | processing task, is_child = 0
0.48.684.147 I slot print_timing: id  0 | task 628 | prompt eval time =     276.41 ms /   101 tokens (    2.74 ms per token,   365.39 tokens per second)
0.48.684.156 I slot print_timing: id  0 | task 628 |        eval time =    1323.95 ms /    84 tokens (   15.95 ms per token,    62.69 tokens per second)
0.48.684.157 I slot print_timing: id  0 | task 628 |       total time =    1600.36 ms /   185 tokens
0.48.684.158 I slot print_timing: id  0 | task 628 |    graphs reused =        602
0.48.684.161 I slot print_timing: id  0 | task 628 | draft acceptance = 0.93939 (   62 accepted /    66 generated), mean len =  3.82
0.48.684.194 I slot      release: id  0 | task 628 | stop processing: n_tokens = 185, truncated = 0
0.48.687.046 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.367 (> 0.100 thold), f_keep = 0.178
0.48.847.012 I slot launch_slot_: id  0 | task 653 | processing task, is_child = 0
0.50.004.247 I slot print_timing: id  0 | task 653 | prompt eval time =     259.57 ms /    90 tokens (    2.88 ms per token,   346.72 tokens per second)
0.50.004.254 I slot print_timing: id  0 | task 653 |        eval time =     897.62 ms /    58 tokens (   15.75 ms per token,    63.50 tokens per second)
0.50.004.254 I slot print_timing: id  0 | task 653 |       total time =    1157.20 ms /   148 tokens
0.50.004.255 I slot print_timing: id  0 | task 653 |    graphs reused =        616
0.50.004.265 I slot print_timing: id  0 | task 653 | draft acceptance = 0.95556 (   43 accepted /    45 generated), mean len =  3.87
0.50.004.302 I slot      release: id  0 | task 653 | stop processing: n_tokens = 148, truncated = 0
0.50.007.109 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.231 (> 0.100 thold), f_keep = 0.223
0.50.167.654 I slot launch_slot_: id  0 | task 671 | processing task, is_child = 0
0.53.181.649 I slot print_timing: id  0 | task 671 | prompt eval time =     343.27 ms /   143 tokens (    2.40 ms per token,   416.58 tokens per second)
0.53.181.657 I slot print_timing: id  0 | task 671 |        eval time =    2670.69 ms /   173 tokens (   15.53 ms per token,    64.40 tokens per second)
0.53.181.657 I slot print_timing: id  0 | task 671 |       total time =    3013.96 ms /   316 tokens
0.53.181.658 I slot print_timing: id  0 | task 671 |    graphs reused =        658
0.53.181.661 I slot print_timing: id  0 | task 671 | draft acceptance = 0.97727 (  129 accepted /   132 generated), mean len =  3.93
0.53.181.697 I slot      release: id  0 | task 671 | stop processing: n_tokens = 316, truncated = 0
0.53.184.800 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.129 (> 0.100 thold), f_keep = 0.104
0.53.350.049 I slot launch_slot_: id  0 | task 718 | processing task, is_child = 0
0.55.860.991 I slot print_timing: id  0 | task 718 | prompt eval time =     455.27 ms /   256 tokens (    1.78 ms per token,   562.30 tokens per second)
0.55.860.998 I slot print_timing: id  0 | task 718 |        eval time =    2055.64 ms /   131 tokens (   15.81 ms per token,    63.24 tokens per second)
0.55.860.999 I slot print_timing: id  0 | task 718 |       total time =    2510.91 ms /   387 tokens
0.55.860.999 I slot print_timing: id  0 | task 718 |    graphs reused =        691
0.55.861.002 I slot print_timing: id  0 | task 718 | draft acceptance = 0.94118 (   96 accepted /   102 generated), mean len =  3.82
0.55.861.044 I slot      release: id  0 | task 718 | stop processing: n_tokens = 386, truncated = 0
0.55.864.136 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.203 (> 0.100 thold), f_keep = 0.091
0.56.032.049 I slot launch_slot_: id  0 | task 755 | processing task, is_child = 0
0.59.442.692 I slot print_timing: id  0 | task 755 | n_gen =    185, tg =  60.55 t/s, tg_3s =  60.88 t/s
1.00.160.131 I slot print_timing: id  0 | task 755 | prompt eval time =     371.82 ms /   172 tokens (    2.16 ms per token,   462.59 tokens per second)
1.00.160.139 I slot print_timing: id  0 | task 755 |        eval time =    3756.23 ms /   227 tokens (   16.62 ms per token,    60.17 tokens per second)
1.00.160.139 I slot print_timing: id  0 | task 755 |       total time =    4128.05 ms /   399 tokens
1.00.160.140 I slot print_timing: id  0 | task 755 |    graphs reused =        751
1.00.160.143 I slot print_timing: id  0 | task 755 | draft acceptance = 0.88710 (  165 accepted /   186 generated), mean len =  3.66
1.00.160.180 I slot      release: id  0 | task 755 | stop processing: n_tokens = 399, truncated = 0
1.00.162.917 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.216 (> 0.100 thold), f_keep = 0.088
1.00.331.402 I slot launch_slot_: id  0 | task 820 | processing task, is_child = 0
1.03.536.987 I slot print_timing: id  0 | task 820 | prompt eval time =     351.58 ms /   162 tokens (    2.17 ms per token,   460.78 tokens per second)
1.03.536.994 I slot print_timing: id  0 | task 820 |        eval time =    2853.97 ms /   185 tokens (   15.51 ms per token,    64.47 tokens per second)
1.03.536.995 I slot print_timing: id  0 | task 820 |       total time =    3205.55 ms /   347 tokens
1.03.536.995 I slot print_timing: id  0 | task 820 |    graphs reused =        796
1.03.536.998 I slot print_timing: id  0 | task 820 | draft acceptance = 0.97872 (  138 accepted /   141 generated), mean len =  3.94
1.03.537.037 I slot      release: id  0 | task 820 | stop processing: n_tokens = 347, truncated = 0
1.03.540.239 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.243 (> 0.100 thold), f_keep = 0.101
1.03.708.590 I slot launch_slot_: id  0 | task 870 | processing task, is_child = 0
1.06.122.825 I slot print_timing: id  0 | task 870 | prompt eval time =     343.60 ms /   144 tokens (    2.39 ms per token,   419.09 tokens per second)
1.06.122.831 I slot print_timing: id  0 | task 870 |        eval time =    2070.60 ms /   136 tokens (   15.34 ms per token,    65.20 tokens per second)
1.06.122.832 I slot print_timing: id  0 | task 870 |       total time =    2414.20 ms /   280 tokens
1.06.122.832 I slot print_timing: id  0 | task 870 |    graphs reused =        828
1.06.122.835 I slot print_timing: id  0 | task 870 | draft acceptance = 1.00000 (  102 accepted /   102 generated), mean len =  4.00
1.06.122.870 I slot      release: id  0 | task 870 | stop processing: n_tokens = 280, truncated = 0
1.06.125.708 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.258 (> 0.100 thold), f_keep = 0.118
1.06.288.877 I slot launch_slot_: id  0 | task 907 | processing task, is_child = 0
1.08.037.356 I slot print_timing: id  0 | task 907 | prompt eval time =     297.26 ms /   128 tokens (    2.32 ms per token,   430.59 tokens per second)
1.08.037.364 I slot print_timing: id  0 | task 907 |        eval time =    1451.18 ms /    97 tokens (   15.12 ms per token,    66.15 tokens per second)
1.08.037.364 I slot print_timing: id  0 | task 907 |       total time =    1748.44 ms /   225 tokens
1.08.037.365 I slot print_timing: id  0 | task 907 |    graphs reused =        851
1.08.037.367 I slot print_timing: id  0 | task 907 | draft acceptance = 1.00000 (   72 accepted /    72 generated), mean len =  4.00
1.08.037.405 I slot      release: id  0 | task 907 | stop processing: n_tokens = 224, truncated = 0
1.08.040.309 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.273 (> 0.100 thold), f_keep = 0.147
1.08.201.154 I slot launch_slot_: id  0 | task 934 | processing task, is_child = 0
1.10.747.459 I slot print_timing: id  0 | task 934 | prompt eval time =     294.11 ms /   121 tokens (    2.43 ms per token,   411.41 tokens per second)
1.10.747.467 I slot print_timing: id  0 | task 934 |        eval time =    2252.16 ms /   141 tokens (   16.09 ms per token,    62.16 tokens per second)
1.10.747.467 I slot print_timing: id  0 | task 934 |       total time =    2546.27 ms /   262 tokens
1.10.747.468 I slot print_timing: id  0 | task 934 |    graphs reused =        886
1.10.747.471 I slot print_timing: id  0 | task 934 | draft acceptance = 0.93694 (  104 accepted /   111 generated), mean len =  3.81
1.10.747.507 I slot      release: id  0 | task 934 | stop processing: n_tokens = 262, truncated = 0
1.10.750.283 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.250 (> 0.100 thold), f_keep = 0.126
1.10.915.767 I slot launch_slot_: id  0 | task 974 | processing task, is_child = 0
1.12.846.548 I slot print_timing: id  0 | task 974 | prompt eval time =     300.14 ms /   132 tokens (    2.27 ms per token,   439.79 tokens per second)
1.12.846.555 I slot print_timing: id  0 | task 974 |        eval time =    1630.61 ms /   107 tokens (   15.38 ms per token,    65.01 tokens per second)
1.12.846.555 I slot print_timing: id  0 | task 974 |       total time =    1930.75 ms /   239 tokens
1.12.846.556 I slot print_timing: id  0 | task 974 |    graphs reused =        912
1.12.846.559 I slot print_timing: id  0 | task 974 | draft acceptance = 0.98765 (   80 accepted /    81 generated), mean len =  3.96
1.12.846.594 I slot      release: id  0 | task 974 | stop processing: n_tokens = 239, truncated = 0
1.12.850.260 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.130 (> 0.100 thold), f_keep = 0.138
1.13.012.821 I slot launch_slot_: id  0 | task 1004 | processing task, is_child = 0
1.16.499.348 I slot print_timing: id  0 | task 1004 | n_gen =    201, tg =  65.98 t/s, tg_3s =  66.31 t/s
1.18.147.228 I slot print_timing: id  0 | task 1004 | prompt eval time =     455.26 ms /   254 tokens (    1.79 ms per token,   557.92 tokens per second)
1.18.147.236 I slot print_timing: id  0 | task 1004 |        eval time =    4679.11 ms /   295 tokens (   15.92 ms per token,    62.83 tokens per second)
1.18.147.236 I slot print_timing: id  0 | task 1004 |       total time =    5134.37 ms /   549 tokens
1.18.147.237 I slot print_timing: id  0 | task 1004 |    graphs reused =        987
1.18.147.240 I slot print_timing: id  0 | task 1004 | draft acceptance = 0.93939 (  217 accepted /   231 generated), mean len =  3.82
1.18.147.277 I slot      release: id  0 | task 1004 | stop processing: n_tokens = 548, truncated = 0
1.18.150.442 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.162 (> 0.100 thold), f_keep = 0.064
1.18.325.193 I slot launch_slot_: id  0 | task 1084 | processing task, is_child = 0
1.21.777.513 I slot print_timing: id  0 | task 1084 | n_gen =    199, tg =  65.22 t/s, tg_3s =  65.55 t/s
1.23.053.029 I slot print_timing: id  0 | task 1084 | prompt eval time =     416.33 ms /   216 tokens (    1.93 ms per token,   518.82 tokens per second)
1.23.053.036 I slot print_timing: id  0 | task 1084 |        eval time =    4311.48 ms /   276 tokens (   15.68 ms per token,    63.78 tokens per second)
1.23.053.037 I slot print_timing: id  0 | task 1084 |       total time =    4727.80 ms /   492 tokens
1.23.053.037 I slot print_timing: id  0 | task 1084 |    graphs reused =       1056
1.23.053.040 I slot print_timing: id  0 | task 1084 | draft acceptance = 0.95775 (  204 accepted /   213 generated), mean len =  3.87
1.23.053.081 I slot      release: id  0 | task 1084 | stop processing: n_tokens = 491, truncated = 0
1.23.055.962 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.407 (> 0.100 thold), f_keep = 0.071
1.23.227.641 I slot launch_slot_: id  0 | task 1158 | processing task, is_child = 0
1.26.497.460 I slot print_timing: id  0 | task 1158 | n_gen =    174, tg =  57.42 t/s, tg_3s =  57.75 t/s
1.28.069.697 I slot print_timing: id  0 | task 1158 | prompt eval time =     256.95 ms /    86 tokens (    2.99 ms per token,   334.70 tokens per second)
1.28.069.704 I slot print_timing: id  0 | task 1158 |        eval time =    4585.07 ms /   260 tokens (   17.70 ms per token,    56.49 tokens per second)
1.28.069.704 I slot print_timing: id  0 | task 1158 |       total time =    4842.02 ms /   346 tokens
1.28.069.705 I slot print_timing: id  0 | task 1158 |    graphs reused =       1130
1.28.069.708 I slot print_timing: id  0 | task 1158 | draft acceptance = 0.80702 (  184 accepted /   228 generated), mean len =  3.42
1.28.069.738 I slot      release: id  0 | task 1158 | stop processing: n_tokens = 346, truncated = 0
1.28.072.752 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.107 (> 0.100 thold), f_keep = 0.095
1.28.238.911 I slot launch_slot_: id  0 | task 1237 | processing task, is_child = 0
1.31.826.554 I slot print_timing: id  0 | task 1237 | n_gen =    201, tg =  66.02 t/s, tg_3s =  66.35 t/s
1.34.856.336 I slot print_timing: id  0 | task 1237 | n_gen =    375, tg =  61.72 t/s, tg_3s =  57.43 t/s
1.37.891.848 I slot print_timing: id  0 | task 1237 | n_gen =    551, tg =  60.47 t/s, tg_3s =  57.98 t/s
1.39.046.427 I slot print_timing: id  0 | task 1237 | prompt eval time =     558.05 ms /   309 tokens (    1.81 ms per token,   553.72 tokens per second)
1.39.046.434 I slot print_timing: id  0 | task 1237 |        eval time =   10249.43 ms /   625 tokens (   16.43 ms per token,    60.88 tokens per second)
1.39.046.434 I slot print_timing: id  0 | task 1237 |       total time =   10807.48 ms /   934 tokens
1.39.046.435 I slot print_timing: id  0 | task 1237 |    graphs reused =       1296
1.39.046.437 I slot print_timing: id  0 | task 1237 | draft acceptance = 0.89744 (  455 accepted /   507 generated), mean len =  3.69
1.39.046.477 I slot      release: id  0 | task 1237 | stop processing: n_tokens = 933, truncated = 0
1.39.049.383 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.282 (> 0.100 thold), f_keep = 0.035
1.39.243.208 I slot launch_slot_: id  0 | task 1409 | processing task, is_child = 0
1.40.866.569 I slot print_timing: id  0 | task 1409 | prompt eval time =     291.12 ms /   117 tokens (    2.49 ms per token,   401.89 tokens per second)
1.40.866.576 I slot print_timing: id  0 | task 1409 |        eval time =    1332.20 ms /    87 tokens (   15.49 ms per token,    64.55 tokens per second)
1.40.866.576 I slot print_timing: id  0 | task 1409 |       total time =    1623.33 ms /   204 tokens
1.40.866.577 I slot print_timing: id  0 | task 1409 |    graphs reused =       1317
1.40.866.580 I slot print_timing: id  0 | task 1409 | draft acceptance = 0.96970 (   64 accepted /    66 generated), mean len =  3.91
1.40.866.611 I slot      release: id  0 | task 1409 | stop processing: n_tokens = 203, truncated = 0
1.40.869.688 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.157 (> 0.100 thold), f_keep = 0.163
1.41.032.298 I slot launch_slot_: id  0 | task 1434 | processing task, is_child = 0
1.44.468.570 I slot print_timing: id  0 | task 1434 | n_gen =    198, tg =  65.17 t/s, tg_3s =  65.50 t/s
1.44.707.415 I slot print_timing: id  0 | task 1434 | prompt eval time =     413.51 ms /   210 tokens (    1.97 ms per token,   507.84 tokens per second)
